ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y
1997.3.2,1997,3 Wild Spaces  two of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167752.697,1665535.099
1997.3.3,1997,3 Wild Spaces  three of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167791.011,1666948.482
2006.28.1,2006,Forgotten Landscapes,Shannon Kelly,Video Installation,Colorado Convention Center Hotel Hyatt,Exterior facing 15th St,,3142496.623,1696208.897
1913.1.1,1913,The Pied Piper of Hamelin,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145483.088,1676314.657
1913.2.1,1913,King Arthur Recovering the Magic Sword Excalibur,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145471.804,1676318.997
1913.3.1,1913,There is No Frigate Like a Book,Marie Woodson,Oil Painting on Canvas,Decker Branch Library,,,3145495.241,1676314.657
1919.1.1,1919,Dennis Sullivan Gateway Agriculture and Mining,Leo Lentelli,Stone,East High School ,Esplanade and Colfax,,3152705.75,1695169.25
1920.1.1,1920,The Trapper,Allen True,Oil Painting on Canvas,Civic Center Park,Greek Theatre,,3143764.885,1694154.024
1961.3.1,1961,The Bermese Nebula,Vance Kirkland ,"Oil,water, and gold on linen",Temple Buell Theatre Lobby,,On Loan from the Kirkland Museum.,3141183.212,1696442.229
1972.1.1,1972,Valedictorian,Abe Vigil,Painted Wood and Metal Sculpture,Governors Park,,,3145817.747,1690362.036
1975.5.1,1975,Metal Screen Sculpture,Vincent OBrien,"Metal, stained glass, machine parts.",Hampden Branch Library,,,3176109.817,1663912.579
1978.2.1,1978,La Alma Mural,Emanuel Martinez,Mural,La Alma Recreation Center,,,3139344.472,1692606.647
1980.4.1,1980,La Familia Cosmica,Jerry Jaramillo,Mural,La Familia Recreation Center,On Wall in Indoor Pool,,3142251.651,1685889.124
2003.17.1,2003,The Yearling,Donald Lipski,Steel  Fiberglass,Denver Public Library,Childrens Lawn,,3143882.778,1694032.009
1981.1.1,1981,At the Library,Barry Rose,Ceramic Tiles,Denver Public Library,Central Branch Exterior,,3143988.517,1694108.82
1982.1.1,1982,Kenneth Mackenzie MacIntosh,Dane Romberger,Bronze,Wellington E Webb Municipal Building,MacIntosh Plaza,,3143641.371,1695118.335
1988.3.1,1988,"Brown Flowers, the Mestizo People",Carlota Espinoza,Mural,Denver Department of Social Services,,,3133816.856,1693063.283
1989.1.1,1989,Beatrix Potter Characters,Jo Ehr ,Painting,Athmar Branch Library, ,,3136897.215,1679163.189
1993.1.2,1993,Beginning of a Century,Susan Cooper,Oil on Sculpted Wood,City and County Building,,,3143168.535,1694579.662
2003.18.1,2003,World Family,Bob Luna & Martha Keating,Ceramic Murals,Family Crisis Center,Interior,,3133903.352,1692387.675
2003.19.1,2003,Color Wind,George Peters and Melanie Walker,Powder coated Aluminum,Family Crisis Center,Exterior,,3133888.829,1692386.465
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133890.039,1692408.251
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133888.829,1692431.248
2003.22.1,2003,"Bird House, Light House and Tree House",Sandy Toland,Ceramic and plywood murals,Family Crisis Center,Lobby Area,,3133926.348,1692433.669
2003.25.1,2003,Portrait of William Scheitler,Steve Altman,Acrylic Painting,Scheitler Recreation Center,,,3126081.625,1709795.186
1994.21.1,1994,Art Cronicles,Alex Sweetman,Photography,Denver International Airport,,,3232019.864,1736016.682
1932.2.1,1932,Eagle ,Nicolosi,Bronze,City and County Building,On top of building,Painted in 1949 with 23 karat gold leaf.  Measures 6ft 6in.,3143105.998,1694543.813
2007.1.1,"20072007",Aerial,"John Davis","Metal and Concrete",Denver Skate Park ,Little Raven St and 20th St,,3139790.474,1701942.746
2007.2.1,2007,Life of the Mind,John McEnroe,Plastic,"Green Valley Ranch SchoolGreen Valley Ranch School",4100 Jericho St,,3206267.78,1712126.642
2008.1.1,2008,Villa Park Gateway,Gary Sweeney,Steel and Stone,Villa Park,8th Ave and Grove St,,3133259.328,1690917.91
2008.2.1,2008,Fault Shadows,Patrick Marold,Steel and Glass gate and Rail Element,Gates Tennis Center,3300 East Bayaud Ave,,3155181.163,1685457.178
2008.5.1,2008,Westwood Renaissance,Daniel Salazar,Photo Installation,Westwood Community Center,980 S Lowell St,,3131478.199,1680193.889
2008.6.1,2008,"Untitled",Conor Hollis,Powder Coated Steel,Aquagolf,501 W Florida Ave,,3142315.865,1676596.935
2008.7.1,2008,National Velvet,John McEnroe,"Fiberglass, Resin, Sand and Steel",Highlands Bridge Overpass,,,3138210.492,1701278.166
2008.8.1,2008,Tradition,Joseph Cipri,Bronze,"Stapleton Fire Station","7934 Martin Luther King Blvd",,3169861.703,1702163.82
1953.1.1,1953,Old Courthouse Bell,Carol Candelaria Rothberg and or Fl,,14th and Larimer,West side of the Street,,3140542.628,1697451.72
2003.30.1,2003,Portrait of Hiwatha Davis , Robert Evans,Acrylic Painting,Hiawatha Davis Rec Center,,,3162514.817,1703820.59
2003.31.1,2003,Davis Rec in Motion,Gary Emrich,Video Installation,Hiawatha Davis Rec Center,,,3162544.33,1703806.701
2006.26.1,2006,Antique Gold and Aquamarine Chandelier,Dale Chihuly,Glass,Ellie Caulkins Opera House,Atrium of Opera House,,3141353.176,1696581.308
2005.8.1,2005,Good Fortune is Here to Stay,Yuan Xiao Ceng,Bronze,Denver Zoo,,,3153810.689,1698472.261
1920.5.1,1920,Elk Group and Buffalo,Allen True,Oil Painting on Canvas,Civic Center Park,North Portico,,3143698.733,1694948.978
1995.9.1,1995,Leap of Faith,Patty Ortiz,Painted Steel,Speer Boulevard Access Ramp at Wewatta,,,3139316.493,1698525.465
2001.2.1,2001,Common Ground,Barbara Grygutis,Stone,Commons Park,Little Raven St. and 15th St.,,3138888.518,1700334.591
1997.2.1,1997,Big Wheel,Ed Carpenter,Steel and Concrete,Broadway Viaduct,,,3143843.085,1703031.536
1998.5.1,1998,"Earth, Air, Fire, and Water",Nancy Lovendahl,Stone,Rockmont Park Cuernavaca Park,,,3140288.691,1702328.95
1906.1.1,1906,Sundial,Unknown,Bronze and Marble,City Park,West of the Pavillion,,3153791.953,1697131.668
1991.2.1,1991,A Good Catch,Peter Kola,Oil painting,Denver Police Department,,,3142752.642,1694005.869
1991.3.1,1991,Eagles Choice,Peter Kola,Oil painting,Denver Police Department,,,3142756.542,1694034.463
1991.4.1,1991,Deer Family Grazing,Peter Kola,Oil painting,Denver Police Department,,,3142743.545,1694050.058
1991.6.1,1991,Wayward Winds,Peter Kola,Oil painting,Denver Police Department,,,3142744.845,1694022.766
1993.15.1,1993,Arctic Sojourn,Kenneth Bunn,Bronze,Denver Zoo,,,3154836.701,1698717.166
1993.5.1,1993,Neighborhood Epic,Martha Keating and Bob Luna,Tile Mosiac,20th St. Viaduct,,,3139251.513,1702827.851
1993.13.1,1993,A Life in Harmony with all Creation,"Ken and Judith Williams, and Maria",Ceramic Mosiac,15th Street Underpass,,,3139323.769,1699494.967
1996.6.1,1996,River Glyph ,Andrew Dufford,Sandblasted Concrete/Lithochrome Dye,City of Cuernavaca Park,"Along Park Paths, I-25 and 20th St.",,3139658.934,1702377.383
1993.14.1,1993,Frog,Susan Raymond,Bronze,Denver Zoo,,,3154714.074,1698668.115
2006.27.1,2006,Two Hundred And Twenty Two Point Five Degrees Arc,Bernar Venet,Steel,Commons Park,Little Raven St. and 15th St.,,3139330.184,1700696.4
1997.8.1,1997,Visions Born by This River,Robert Tully,Stone,Gates Crescent Park ,W 23rd Ave. and Water St.,,3135992.085,1698108.354
2003.1.1,2003,East 2 West Source Point,Larry Kirkland,"Carrara Marble, Cast Bronze and Gold Leaf",Wellington E Webb Municipal Building,,,3143328.956,1694929.311
2003.15.1,2003,Building Blocks,Robert Murase,Stone and Marble,Wellington E Webb Municipal Building,,,3143661.854,1695133.589
2003.16.1,2003,Tools,Donald Lipski,Mixed Media,Wellington E Webb Municipal Building,,,3143540.799,1695204.517
2003.7.1,2003,Workers,Darrell Anderson,Ceramic Mosaic,Wellington E Webb Municipal Building,,,3143235.329,1695015.372
2003.12.1,2003,Whole Life,Bonny Lhotka,Holograph,Wellington E Webb Municipal Building,,,3143250.461,1695020.1
2003.6.1,2003,Ascent,Bill Starke,Cast Metal,Wellington E Webb Municipal Building,,,3143289.235,1695033.341
2003.5.1,2003,Canyon Walls,Judith Trager,Fiber,Wellington E Webb Municipal Building,,,3143302.476,1695035.232
2003.10.1,2003,Civic Centerized,Steven Altman,Acrylic Painting,Wellington E Webb Municipal Building,,,3143317.608,1695043.744
2003.13.1,2003,Antiquities and Revisisted,Sue Quinlan,Wood Carving,Wellington E Webb Municipal Building,,,3143338.414,1695049.419
2003.8.1,2003,Inter Spirit of the Created Colorado Vision,Nathaniel Bustion,Stone and Marble,Wellington E Webb Municipal Building,,,3143351.654,1695056.038
2003.4.1,2003,Grand Poobah and Office Fairy,Daniel Salazar,Photograph,Wellington E Webb Municipal Building,,,3143370.569,1695066.442
2004.5.1,2004,Model State; A Local Cosmology,John McEnroe,Fiberglass and Polyester Resin,Convention Center Expansion,,,3142023.047,1695963.717
2003.26.1,2003,The Spirit of Togetherness,Yvonne Munide,Acrylic Painting,African American Research Library,,,3145835.348,1699202.47
2004.8.1,2004,African American Spirit of the West,Thomas Jay Warren,Bronze,African American Research Library,,,3145846.036,1699205.241
2003.24.1,2003,Firehouse,Dennis Oppenheim,Aluminum Mixed Media,Fire Station 9,,,3149602.703,1708960.044
2003.28.1,2003,Bluecityjungle,Michael Gadlin,Acrylic Painting,Police Department District 2 Northeast,,,3162266.269,1706280.611
2004.7.1,2004,Silver Sky,Dayton Claudio,Epoxy Composit and acrylic,Montclair Recreation Center,,,3170324.096,1690402.911
2004.9.1,2004,Swimming under the Trees and Autumn Leaves,Shan Shan Sheng,Cold cast glass,Rude Park Recreation Center,,,3134072.471,1693448.453
2004.6.1,2004,Aqua Portal,Don Lawler and Meg White,Marble,Ashland Recreation Center,,,3135535.928,1701947.061
2005.5.1,2005,Camino,Michael Clapper,Limestone and stainless steel,Park Avenue Warehouse,,,3141808.583,1703926.598
1920.2.1,1920,The Prospector,Allen True,Oil Painting on Canvas,Civic Center Park,Greek Theatre,,3143737.15,1694155.412
2008.9.1,2008,Camarasaurus and Ceratosaurus,Gary Staab,Fiberglass,DMNS Garage,2001 Colorado Blvd,,3156342.786,1697938.825
2008.10.1,2008,Mustang,Luis Jimenez,Fiberglass and Steel,Pena Blvd and Pena Cir,,,3231346.539,1729761.208
2005.3.1,2005,Rehearsal,Stephen Batura,Acrylic Painting,Ellie Caulkins Opera House,,,3141378.681,1696596.074
2006.10.1,2006,Maria Mosina and Igor Vassim,John DeAndrea ,"Bronze, Polychromed in Oil",Ellie Caulkins Opera House,,,3141405.528,1696606.813
1994.3.1,1994,Flame of Compassion,Ross Barrable,Steel Wire,Communication Center,,,3152242.524,1691673.915
1997.7.1,1997,Family Pillar,Lisa Kaslow,Painted Steel,Social Services Building,,,3133964.492,1693003.917
1968.4.1,1968,Hungarian Freedom Monument,Zoltan and Steven Popovits,Bronze,Hungarian Park,,,3147439.912,1687046.997
1932.1.1,1932,Benedict Fountain,Maurice Bardin,Marble,Hungarian Park,,,3147164.872,1687120.872
1976.1.1,1976,Steel Street Fountain,Gary Dwyer,Concrete ,Cherry Creek Park,,,3154667.08,1685574.833
1976.3.1,1976,General Pulaski Monument,Zbigniew Maleszewski,Marble,Pulaski Park,,,3155607.981,1684641.543
1991.18.1,1991,Juntos/Together,Tony Ortega,Tile Mosiac,Lakewood Dry Gulch Park,,,3127902.243,1692252.031
1992.4.1,1992,Dominion,Evelyn Rosenberg,Steel,National Western Stock Show Complex,Exterior,,3148858.694,1709759.157
1993.12.1,1993,Family and Community Fun,Nick Vigil,Mural,St. Charles Recreation Center,,,3148640.952,1705632.294
1995.7.1,1995,Argento Piattino con Pesce,Andy Libertone,Metal/Stone,6th Speer and Lincoln,,,3144560.75,1689507.48
1996.1.1,1996,Bridge of Recycling Fountains,Laura Audrey,Water/Steel,2000 West Third Avenue,,,3138111.167,1687854.993
1996.2.1,1996,Mountain Streams,Steven Jensen,Wood,Davis Pavilion,,,3143274.094,1690520.99
1988.2.1,1988,When Legends Run Free (Running Wolves),Rik Sargent,Bronze,Museum of Nature and Science,,,3156727.482,1697895.79
1969.1.1,1968,Unititled,Angelo DiBenidetto,concrete and original was plywood,Burns Park,,Redone in 2004 in concrete,3157607.58,1685009.179
1999.1.1,1999,Jazz,Barbara Baer,Painted Steel,Burns Park,,,3157595.645,1685163.041
1993.7.1,1993,Petros,Bill Gian.,Painted Steel,Creekfront Park,,,3140507.255,1697234.559
1995.4.1,1995,Legend,William Burgess,Painted Steel,16th Street Mall Extension,,,3140586.249,1698891.242
1995.5.1,1995,Platte Valley Time Vanes  6 vanes,David Griggs,Painted Fabricated Steel,23rd Street Viaduct,,,3143137.702,1701063.088
1968.3.1,1968,Untitled,Wilbert Verhelst,Wood and plexiglass,Burns Park,,,3157519.906,1684722.721
1968.2.1,1968,Untitled,Roger Kotoske,Wood and plexiglass,Burns Park,,,3157660.532,1684887
1989.4.1,1989,Hogback,Elaine Calzolari,Sandstone  ,Cherry Creek Park,,,3154371.373,1685640.844
1990.2.1,1990,Park and Garden Benches,Carolyn Braaksma,Concrete and Bronze,Colorado Blvd and MLK Blvd,,,3166038.213,1705931.764
1990.1.1,1990,Sandstone Median,Trine Bumiller,Sandstone,Colorado Blvd,On medians down Colorado Blvd. between 44th and Alameda,,3157337.34,1685671.93
1994.4.1,1994,First Round,JoeSam.,Painted Steel Wood,Kennedy Golf Course,,,3178362.129,1663436.006
1995.8.1,1995,Untitled  Geomantic Artwork,Wang Po Shu,Stone Wood Steel,Ross University Hills Branch Library,Exterior,,3158538.489,1667687.055
1998.3.1,1998,Full Play,Barbara Baer,Plexiglass and metal,Cook Park,,,3166418.367,1675697.872
1998.2.1,1998,Man and Woman two pieces,Fernando Botero,Bronze,DPAC Atrium,,,3140963.803,1696385.099
1997.4.1,1997,Monumental Intentions,Marcus Akinlana,Tile Mosiac,PLEX Galleria,,,3141126.13,1696536.141
1997.5.1,1997,Twi Lights,John Powell,Light Installation,Plex Garage,,,3141063.629,1696733.189
1971.1.1,1971,Anemotive Tower 6,Robert Mangold,Steel,Athmar Branch Library,Exterior,,3136964.869,1679094.391
1980.1.1,1980,Infinite Energy,Victor M. Contreras,Bronze,Denver Performing Arts Complex,,,3141145.227,1696523.988
1991.19.1,1991,Ode to the West Wind,George Woodman,Tile Mosiac,Temple Buell Theatre,Mezzanine Level,,3141159.983,1696538.745
1991.8.1,1991,Union Spire,Kevin Oehler,Painted Steel,14th and Wazee,,,3140066.008,1697929.052
1991.10.1,1991,Colorado Vactionland,Gary Sweeney,Photographic Installation,16th and California,,,3142818.278,1696776.212
1992.2.1,1992,Soundwalk,Jim Green,Sound Sculpture,Between 15th and 16th on Curtis,,,3141559.66,1697464.414
1992.3.1,1992,Creekfront,Barry Rose,Ceramic Tiles,Creekfront Park,On bollards at Speer Boulevard and Larimer street entrances to the Cherry Creek Path,,3140526.673,1697274.31
1912.1.1,1912,Childrens Fountain,Max Blondet,Marble,City Park,South Path around Ferril Lake,,3155278.13,1696747.239
2001.1.1,2001,Martin Luther King Jr  Monument,Ed Dwight,Marble/Bronze,"City Park  Martin Luther King, Jr. Sculpture",,,3153387.36,1697084.792
1961.1.1,1961,Elephant at the Waterhole Mural,Eva Brand,Mural,Denver Zoo,,,3154876.304,1698623.555
1981.3.1,1981,Golden Eagle Sculpture,T.H. Dickson,Bronze,Denver Zoo,,,3154891.831,1698600.265
1988.1.1,1988,Cares For Her Brother,Veryl Goodnight,Bronze,Denver Zoo,,,3154889.889,1698575.035
2004.4.1,2004,Laughing Escalator,Jim Green,Sound Installation,Convention Center Expansion,,,3141891.98,1696065.512
2003.9.1,2003,Construction  ,Darrell Anderson,Painted Ceramic,Wellington E Webb Municipal Building,5th Floor Elevator Hall,,3143383.889,1695090.285
2005.7.1,2005,Meeting of the Minds,Douglas Kornfeld ,Painted Steel,City Park Golf Clubhouse,,,3151970.529,1699580.957
2006.11.1,2006,Gratis and Aegis,Jonathan Stiles,Steel,Police Department District 3 Southwest,,,3152047.433,1675678.779
1934.1.1,1934,American Indian Orpheus and the Animals,Gladys Caldwell Fisher,Stone Relief,City and County Building,,,3143163.208,1694528.632
1939.1.1,1939,Unknown,Louise Ronnebeck,Fresco,Denver General Hospital, ,,3143315.009,1689950.134
1991.14.1,1991,At Play,Julie Burrington,Mural,Congress Park Pool,,,3153046.431,1691239.684
1997.6.1,1997,The Flag,Jill Burkee/Giancarlo Biagi,Painted Bronze,Social Services Building,,,3133955.324,1693031.422
1992.1.1,1992,Personal Icons,Barry Rose,Bronze Tiles,Ross Barnum Branch Library,,,3130990.345,1686723.021
1968.1.1,1968,Homage To The Pioneer,Susan Pogzeba,Bronze and Concrete,SE Corner of Lincoln and Speer,,,3144385.355,1690114.482
1969.2.1,1968,Untitled  Dedicated To Martin Luther King Jr,Anthony Magar,Wood and plexiglass,Burns Park,,,3158043.778,1684879.838
1991.16.1,1991,Jesters,Mike Davis,Painted Steel Sculptures,Curtis between 14th and 16th,On either side of the street,,3141454.514,1696763.746
2003.39.1,2003,Dancers,Jonathan Borofsky,Steel and Fiberglass,DPAC Sculpture Park,Speer side,,3140818.837,1695921.557
1975.1.1,1975,Untitled,Gerald Cross,Steel  and Plexiglass,Auraria Triangle,,,3140737.24,1695014.439
1991.11.1,1991,Jade Spire,Kevin Oehler,Bronze,17th and Blake,,,3141166.431,1698923.615
1909.1.1,1909,Robert Burns Memorial,Grant Stevenson,Bronze,City Park,,,3153629.326,1697476.336
1977.2.1,1977,The Sentinel  Pronghorn,Kenneth Bunn,Bronze,Denver Zoo,,,3154843.31,1698611.91
1924.1.1,1924,Pinhorn Statue and Drinking Fountain,Clara Soanson Dieman,Bronze, Larimer Square,Breezeway,,3140867.281,1697532.448
1998.4.1,1998,Sympathetic Embrace,Michael Clapper,Stone,Denver Health,Corner of Bannock and Speer,,3143419.72,1690486.812
1989.5.1,1989,The Gorilla,Sherry Sander,Bronze,Denver Zoo,,,3153071.848,1698722.9
1991.5.1,1991,Moose And Baby Grazing,Peter Kola,Oil painting,Denver Police Department,,,3142777.336,1694044.86
2002.1.1,2002,Northpark,Tony Ortega and Maureen Auman,Sandblasted Concrete/Lithochrome Dye,Northside Park North Platte Reclamation,,,3160411.243,1713113.774
2003.11.1,2003,South Gateway,Scott Greenig,Painting Acrylic,Wellington E Webb Municipal Building,,,3143275.05,1695026.721
2003.3.1,2003,Civic Center Floating Island,Jim Colbert,Oil Painting  ,Wellington E Webb Municipal Building,,,3143406.506,1695107.203
2003.27.1,2003,Cultural Tapestries,L.Brower Hatcher,Mixed Media,Police Department District 1 Northwest,,,3139718.365,1709546.396
2003.19.2,2003,House Play  Childerns Cabinets,George Peters and Melanie Walker,Painted Plywood  ,Family Crisis Center,Lobby Area,,3133917.876,1692387.675
1920.6.1,1920,The Ancient Mariner,Robert Garrison,Carved Stone,Park Hill Branch Library,Main Building East Wall,,3159560.575,1697780.602
2008.4.1,2008,Stimuli,Christopher Weed,Powder coated steel,Lowry Head Start,11th and Ulster St,,3170450.67,1691736.956
2009.1.1,2009,Current3,Virginia Folkstad,Light,Manny's Bridge,Wynkoop St over Cherry Creek,,3139625.597,1698468.993
1911.1.1,1911,Pioneer Fountain,Frederick MacMonnies,Bronze Granite,Broadway and Colfax,,,3144073.992,1694938.703
1970.1.1,1970,"Christopher Columbus, Discoverer of America",William F Joseph,Bronze,Civic Center Park,,,3143804.883,1694668.525
1920.3.1,1920,Broncho Buster,Alexander Phimister Proctor,Bronze,Civic Center Park,,,3143690.683,1694431.855
1922.1.1,1922,On The War Trail,Alexander Phimister Proctor,Bronze,Civic Center Park,,,3143807.639,1694435.399
1989.3.1,1989,Calculated Risk,Erick Johnson,Aluminum  ,City Permit Building,NE corner exterior,,3143305.39,1694208.392
1989.2.1,1989,Town Where The West Went Wild,Steven F. Morath,Mural,City Permit Building,,,3143291.221,1694180.051
2004.3.1,2004,Indeterminate Line,Bernar Venet,Cor-ten Steel,Convention Center Expansion,Corner of Speer and Stout,,3140886.455,1695638.294
1991.9.1,1991,Tail Spin,Erick Johnson,Metal Installation,Colorado Convention Center ,14th St side lobby exhibition hall,,3141712.235,1696237.44
2004.1.1,2004,Pioneers of Colorado,William Mathews,Watercolor,Convention Center Expansion,,,3141766.94,1695911.817
